# OWASP Top 10:2025, final. Source: github.com/OWASP/Top10, 2025/docs/en/*.md, "List of Mapped CWEs" of each page, fetched 2026-09-16. CC BY-SA 4.0.
# category	name	mapped CWEs
A01:2025	Broken Access Control	CWE-22 CWE-23 CWE-36 CWE-59 CWE-61 CWE-65 CWE-200 CWE-201 CWE-219 CWE-276 CWE-281 CWE-282 CWE-283 CWE-284 CWE-285 CWE-352 CWE-359 CWE-377 CWE-379 CWE-402 CWE-424 CWE-425 CWE-441 CWE-497 CWE-538 CWE-540 CWE-548 CWE-552 CWE-566 CWE-601 CWE-615 CWE-639 CWE-668 CWE-732 CWE-749 CWE-862 CWE-863 CWE-918 CWE-922 CWE-1275
A02:2025	Security Misconfiguration	CWE-5 CWE-11 CWE-13 CWE-15 CWE-16 CWE-260 CWE-315 CWE-489 CWE-526 CWE-547 CWE-611 CWE-614 CWE-776 CWE-942 CWE-1004 CWE-1174
A03:2025	Software Supply Chain Failures	CWE-447 CWE-1035 CWE-1104 CWE-1329 CWE-1357 CWE-1395
A04:2025	Cryptographic Failures	CWE-261 CWE-296 CWE-319 CWE-320 CWE-321 CWE-322 CWE-323 CWE-324 CWE-325 CWE-326 CWE-327 CWE-328 CWE-329 CWE-330 CWE-331 CWE-332 CWE-334 CWE-335 CWE-336 CWE-337 CWE-338 CWE-340 CWE-342 CWE-347 CWE-523 CWE-757 CWE-759 CWE-760 CWE-780 CWE-916 CWE-1240 CWE-1241
A05:2025	Injection	CWE-20 CWE-74 CWE-76 CWE-77 CWE-78 CWE-79 CWE-80 CWE-83 CWE-86 CWE-88 CWE-89 CWE-90 CWE-91 CWE-93 CWE-94 CWE-95 CWE-96 CWE-97 CWE-98 CWE-99 CWE-103 CWE-104 CWE-112 CWE-113 CWE-114 CWE-115 CWE-116 CWE-129 CWE-159 CWE-470 CWE-493 CWE-500 CWE-564 CWE-610 CWE-643 CWE-644 CWE-917
A06:2025	Insecure Design	CWE-73 CWE-183 CWE-256 CWE-266 CWE-269 CWE-286 CWE-311 CWE-312 CWE-313 CWE-316 CWE-362 CWE-382 CWE-419 CWE-434 CWE-436 CWE-444 CWE-451 CWE-454 CWE-472 CWE-501 CWE-522 CWE-525 CWE-539 CWE-598 CWE-602 CWE-628 CWE-642 CWE-646 CWE-653 CWE-656 CWE-657 CWE-676 CWE-693 CWE-799 CWE-807 CWE-841 CWE-1021 CWE-1022 CWE-1125
A07:2025	Authentication Failures	CWE-258 CWE-259 CWE-287 CWE-288 CWE-289 CWE-290 CWE-291 CWE-293 CWE-294 CWE-295 CWE-297 CWE-298 CWE-299 CWE-300 CWE-302 CWE-303 CWE-304 CWE-305 CWE-306 CWE-307 CWE-308 CWE-309 CWE-346 CWE-350 CWE-384 CWE-521 CWE-613 CWE-620 CWE-640 CWE-798 CWE-940 CWE-941 CWE-1390 CWE-1391 CWE-1392 CWE-1393
A08:2025	Software or Data Integrity Failures	CWE-345 CWE-353 CWE-426 CWE-427 CWE-494 CWE-502 CWE-506 CWE-509 CWE-565 CWE-784 CWE-829 CWE-830 CWE-915 CWE-926
A09:2025	Security Logging and Alerting Failures	CWE-117 CWE-221 CWE-223 CWE-532 CWE-778
A10:2025	Mishandling of Exceptional Conditions	CWE-209 CWE-215 CWE-234 CWE-235 CWE-248 CWE-252 CWE-274 CWE-280 CWE-369 CWE-390 CWE-391 CWE-394 CWE-396 CWE-397 CWE-460 CWE-476 CWE-478 CWE-484 CWE-550 CWE-636 CWE-703 CWE-754 CWE-755 CWE-756
